player,season,team_one,team_two,team_three,games_played,toi,war_82,games_missed
5EBASTIAN.AHO,2017-2018,NYI,none,none,22,357.4,-0.66,60
AARON.DELL,2017-2018,S.J,none,none,28,1505.05,1.71,54
AARON.EKBLAD,2017-2018,FLA,none,none,79,1848.73,-0.4,3
AARON.NESS,2017-2018,WSH,none,none,8,101.82,-2.98,74
ADAM.CLENDENING,2017-2018,ARI,none,none,5,79.67,-2.77,77
ADAM.ERNE,2017-2018,TBL,none,none,23,232.73,-0.45,59
ADAM.HENRIQUE,2017-2018,NJD,ANA,none,79,1407.3,0.59,3
ADAM.LARSSON,2017-2018,EDM,none,none,61,1331,-0.21,21
ADAM.LOWRY,2017-2018,WPG,none,none,43,641.88,2.39,39
ADAM.MCQUAID,2017-2018,BOS,none,none,35,555.78,-0.35,47
ADAM.PELECH,2017-2018,NYI,none,none,76,1464.82,-0.21,6
ADIN.HILL,2017-2018,ARI,none,none,4,240.75,1.74,78
ADRIAN.KEMPE,2017-2018,LAK,none,none,79,1054.27,-0.09,3
A.J..GREER,2017-2018,COL,none,none,17,125.68,-0.09,65
ALAN.QUINE,2017-2018,NYI,none,none,21,246.45,-0.26,61
ALEC.MARTINEZ,2017-2018,LAK,none,none,75,1712.6,-1.14,7
ALEKSANDER.BARKOV,2017-2018,FLA,none,none,78,1726.7,1.66,4
ALEXANDAR.GEORGIEV,2017-2018,NYR,none,none,10,514.77,1.95,72
ALEX.BIEGA,2017-2018,VAN,none,none,41,609.63,-0.83,41
ALEX.BURMISTROV,2017-2018,VAN,none,none,23,278.1,-0.88,59
ALEX.BURROWS,2017-2018,OTT,none,none,69,802.27,0.02,13
ALEX.CHIASSON,2017-2018,WSH,none,none,59,702.87,-0.4,23
ALEX.DEBRINCAT,2017-2018,CHI,none,none,80,1184.68,2.42,2
ALEX.EDLER,2017-2018,VAN,none,none,68,1650,-0.33,14
ALEXEI.EMELIN,2017-2018,NSH,none,none,74,1253.25,-1.07,8
ALEX.GALCHENYUK,2017-2018,MTL,none,none,80,1295.32,-0.04,2
ALEX.GOLIGOSKI,2017-2018,ARI,none,none,76,1765.27,0.07,6
ALEX.IAFALLO,2017-2018,LAK,none,none,75,1132.77,0.86,7
ALEX.KERFOOT,2017-2018,COL,none,none,77,1034.62,2.54,5
ALEX.KILLORN,2017-2018,TBL,none,none,80,1319.6,1.55,2
ALEX.LYON,2017-2018,PHI,none,none,11,479.82,1.34,71
ALEX.OVECHKIN,2017-2018,WSH,none,none,80,1608.78,4.94,2
ALEX.PETROVIC,2017-2018,FLA,none,none,65,946.6,-0.14,17
ALEX.PIETRANGELO,2017-2018,STL,none,none,76,1958.58,0.15,6
ALEX.RADULOV,2017-2018,DAL,none,none,80,1606.5,1.33,2
ALEX.STALOCK,2017-2018,MIN,none,none,27,1430.5,1.81,55
ALEX.STEEN,2017-2018,STL,none,none,74,1381.95,0.42,8
ALEX.TUCH,2017-2018,VGK,none,none,76,1153.33,0.93,6
ALEX.WENNBERG,2017-2018,CBJ,none,none,65,1174.9,0.88,17
AL.MONTOYA,2017-2018,MTL,EDM,none,13,691.73,-1.61,69
ANDERS.BJORK,2017-2018,BOS,none,none,30,370.42,-0.46,52
ANDERS.LEE,2017-2018,NYI,none,none,80,1378.62,1.15,2
ANDERS.NILSSON,2017-2018,VAN,none,none,26,1398.72,-3.3,56
ANDREAS.ATHANASIOU,2017-2018,DET,none,none,68,1047.85,0.42,14
ANDREAS.BORGMAN,2017-2018,TOR,none,none,48,657,-0.45,34
ANDREAS.JOHNSSON,2017-2018,TOR,none,none,9,105.3,2.56,73
ANDREAS.MARTINSEN,2017-2018,CHI,none,none,7,86.4,1.26,75
ANDRE.BURAKOVSKY,2017-2018,WSH,none,none,54,745.15,0.06,28
ANDREI.MIRONOV,2017-2018,COL,none,none,10,110.47,-1.09,72
ANDREI.VASILEVSKIY,2017-2018,TBL,none,none,64,3765.73,1.27,18
ANDREJ.SEKERA,2017-2018,EDM,none,none,36,587.82,-0.91,46
ANDREJ.SUSTR,2017-2018,TBL,none,none,43,558.08,-0.25,39
ANDREW.COGLIANO,2017-2018,ANA,none,none,78,1187.42,0.03,4
ANDREW.COPP,2017-2018,WPG,none,none,80,1094.68,0.51,2
ANDREW.HAMMOND,2017-2018,COL,none,none,2,58.78,6.93,80
ANDREW.LADD,2017-2018,NYI,none,none,71,1133.48,1.06,11
ANDREW.MACDONALD,2017-2018,PHI,none,none,64,1270.53,0.13,18
ANDREW.MANGIAPANE,2017-2018,CGY,none,none,10,89.3,-0.31,72
ANDREW.SHAW,2017-2018,MTL,none,none,51,806.28,-0.32,31
ANDY.ANDREOFF,2017-2018,LAK,none,none,44,416.03,-0.23,38
ANDY.GREENE,2017-2018,NJD,none,none,79,1665.85,0.78,3
ANDY.WELINSKI,2017-2018,ANA,none,none,5,81.77,-1.33,77
