"Team","season","TOI_all","Skater_TOI_EV","Skater_TOI_PP","Skater_TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","Skater_GAR","Goalie_GAR","GAR","GPW","WAR"
"WSH","20162017",29152.3,20002.2,1994.6,1848.9,102.8,27.3,11.7,10.3,152.1,52.3,204.6,5.21,39.4
"BOS","20132014",29278.7,20439.1,1835.5,1726.3,106.3,22.6,5.9,7.3,142.1,42.1,184.3,5.11,36.4
"MIN","20162017",29264.1,20610.8,1912.4,1385.3,134.8,13.8,1.5,15.2,165.3,12.7,178,5.21,34.1
"CBJ","20162017",29186.3,20495.1,1761.9,1527.6,90.4,12.7,-6.3,12.6,109.4,64.4,173.5,5.21,33.3
"WPG","20172018",29225.2,19964.4,2151.9,1773.9,112.7,27.4,-4,11.7,147.8,38.6,187.1,5.61,33.3
"BOS","20082009",28877.7,19214,2448.7,1911.4,68.6,33.9,0.8,17.2,120.5,60.7,180.7,5.45,33.2
"WSH","20152016",29251.2,20155.7,1996.7,1701.7,95.4,22.9,2.3,10.6,131.2,30.9,162.3,5.1,32
"NSH","20142015",29491.8,20228.5,2230.5,1532,109.8,4.9,5,17.4,137.1,24.6,162,5.09,31.9
"S.J","20132014",29540.9,20355.1,2360.9,1427.5,85.1,14.5,6.8,27.7,134.1,28.3,162.1,5.11,31.7
"PIT","20152016",29219.8,20100.6,2124.3,1628.5,104.6,14.6,6.5,11.8,137.5,22.5,159.9,5.1,31.6
"MTL","20072008",28974,18540.9,2851.4,2103.3,54.5,42.6,-7.4,21.7,111.4,51.4,162.5,5.2,31.5
"STL","20132014",29301.7,19865.7,2241.8,1945.5,98,22.1,6.8,13,139.9,19.5,159.8,5.11,31.4
"NSH","20172018",29275.5,19814.2,2142.5,1907.4,90.3,14,2.6,11.5,118.4,54.7,173,5.61,31
"VAN","20102011",29206.7,19506,2282.9,2020.9,55.6,37.1,0.2,7.3,100.2,62.2,162.2,5.23,31
