player,team,season,status,position_new,cap_hit,total_games_missed_injury,total_chip
 AARON.EKBLAD,FLA,2014-2015,active,D,3.775,1,46.036585366
 AARON.EKBLAD,FLA,2015-2016,active,D,3.775,4,184.146341463
 AARON.EKBLAD,FLA,2016-2017,active,D,3.775,14,644.512195122
 AARON.JOHNSON,CBJ,2011-2012,active,D,0.55,5,33.536585366
 AARON.PALUSHAJ,MTL,2011-2012,active,F,0.883,2,21.536585366
 AARON.ROME,DAL,2012-2013,active,D,1.5,20,365.853658536
 AARON.ROME,DAL,2013-2014,active,D,1.5,30,548.780487804
 AARON.ROME,VAN,2009-2010,active,D,0.55,5,33.536585366
 AARON.ROME,VAN,2010-2011,active,D,0.75,8,73.170731707
 AARON.ROME,VAN,2011-2012,active,D,0.75,36,329.268292683
 AARON.VOLPATTI,VAN,2010-2011,active,F,0.613,3,22.426829268
 AARON.VOLPATTI,VAN,2011-2012,active,F,0.613,57,426.109756098
 AARON.VOLPATTI,WSH,2013-2014,active,F,0.575,21,147.256097561
 AARON.VOLPATTI,WSH,2014-2015,active,F,0.575,50,350.609756098
 AARON.VOROS,ANA,2010-2011,active,F,1,24,292.68292683000004
 AARON.WARD,ANA,2009-2010,active,D,2.5,1,30.487804878
 AARON.WARD,CAR,2009-2010,active,D,2.5,1,30.487804878
 ADAM.BURISH,CHI,2009-2010,active,F,0.713,65,565.182926829
 ADAM.BURISH,DAL,2010-2011,active,F,1.15,19,266.463414634
 ADAM.BURISH,DAL,2011-2012,active,F,1.15,16,224.390243903
 ADAM.BURISH,SJS,2013-2014,active,F,1.85,65,1466.463414634
 ADAM.CRACKNELL,DAL,2016-2017,active,F,0.6,5,36.585365854
 ADAM.ERNE,TBL,2017-2018,active,F,0.894167,6,65.426853659
 ADAM.FOOTE,COL,2009-2010,active,D,3,13,475.60975609800005
 ADAM.FOOTE,COL,2010-2011,active,D,1.25,33,503.048780487
 ADAM.HALL,TBL,2011-2012,active,F,0.6,21,153.658536586
 ADAM.HENRIQUE,NJD,2011-2012,active,F,0.854,5,52.073170731999994
 ADAM.HENRIQUE,NJD,2012-2013,active,F,0.854,5,52.073170732
 ADAM.HENRIQUE,NJD,2013-2014,active,F,4,5,243.902439024
 ADAM.HENRIQUE,NJD,2014-2015,active,F,4,7,341.463414634
 ADAM.HENRIQUE,NJD,2015-2016,active,F,4,2,97.56097561
 ADAM.LARSSON,EDM,2016-2017,active,D,4.166667,3,152.439036585
 ADAM.LARSSON,EDM,2017-2018,active,D,4.166667,8,406.504097561
 ADAM.LARSSON,NJD,2011-2012,active,D,0.925,10,112.804878049
 ADAM.LARSSON,NJD,2013-2014,active,D,0.925,21,236.890243902
 ADAM.LARSSON,NJD,2014-2015,active,D,0.9,8,87.804878049
 ADAM.LOWRY,WPG/ATL,2014-2015,active,F,0.925,1,11.280487805
 ADAM.LOWRY,WPG/ATL,2015-2016,active,F,0.828333,5,50.508109756
 ADAM.LOWRY,WPG/ATL,2017-2018,active,F,1.125,36,493.90243902400005
 ADAM.MAIR,BUF,2009-2010,active,F,0.758,5,46.219512195
 ADAM.MCQUAID,BOS,2010-2011,active,D,0.575,1,7.012195122
 ADAM.MCQUAID,BOS,2011-2012,active,D,0.575,8,56.097560976
 ADAM.MCQUAID,BOS,2012-2013,active,D,1.567,13,248.426829269
 ADAM.MCQUAID,BOS,2013-2014,active,D,1.566667,51,974.3904512199999
 ADAM.MCQUAID,BOS,2014-2015,active,D,1.566667,18,343.902512195
 ADAM.MCQUAID,BOS,2015-2016,active,D,2.75,18,603.658536585
