Season,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
2017-2018,Nashville Predators,28.4,82,53,18,11,117,0.713,267,211,6,7,0.71,0.03,5.83,193,145,58,274,21.17,54,299,81.94,10,5,11,9.5,2641,9.9,2659,0.923,101.6
2017-2018,Winnipeg Jets,26.8,82,52,20,10,114,0.695,277,218,4,2,0.74,0.02,6.04,200,159,64,274,23.36,50,274,81.75,9,7,8.1,8.2,2643,10.3,2613,0.917,101
2017-2018,Tampa Bay Lightning,27.5,82,54,23,5,113,0.689,296,236,6,2,0.66,-0.07,6.49,215,167,66,276,23.91,64,267,76.03,9,3,9,9.4,2680,10.8,2683,0.913,102
2017-2018,Boston Bruins,28.6,82,50,20,12,112,0.683,270,214,3,3,0.62,-0.07,5.9,197,161,61,258,23.64,40,245,83.67,9,10,9.3,9.4,2703,9.9,2399,0.912,100.2
2017-2018,Vegas Golden Knights,28,82,51,24,7,109,0.665,272,228,4,3,0.52,-0.01,6.1,207,176,53,248,21.37,44,237,81.43,8,5,6.7,7.2,2686,10,2521,0.911,100.5
2017-2018,Washington Capitals,28.4,82,49,26,7,105,0.64,259,239,3,1,0.21,-0.04,6.07,197,177,55,244,22.54,53,269,80.3,4,8,9.5,8.9,2379,10.8,2613,0.909,101.4
2017-2018,Toronto Maple Leafs,28.3,82,49,26,7,105,0.64,277,232,7,2,0.49,-0.06,6.21,210,182,56,224,25,43,231,81.39,4,5,6.7,6.7,2640,10.2,2776,0.917,101.6
2017-2018,Anaheim Ducks,28.7,82,44,25,13,101,0.616,235,216,4,7,0.24,0.01,5.5,183,159,38,214,17.76,46,274,83.21,10,4,9.7,8.5,2475,9.3,2716,0.923,101.2
2017-2018,Minnesota Wild,29.5,82,45,26,11,101,0.616,253,232,3,3,0.29,0.04,5.91,194,172,49,240,20.42,51,272,81.25,7,6,8.1,7.4,2476,10.1,2569,0.911,100.7
2017-2018,Pittsburgh Penguins,27.7,82,47,29,6,100,0.61,272,250,2,2,0.23,-0.04,6.37,196,192,68,260,26.15,53,265,80,6,3,9.3,8.9,2823,9.6,2553,0.903,98.5
2017-2018,San Jose Sharks,28.8,82,45,27,10,100,0.61,252,229,5,3,0.28,0,5.87,186,189,53,257,20.62,34,224,84.82,8,3,7.5,7.8,2702,9.1,2488,0.909,99.3
2017-2018,Philadelphia Flyers,27.4,82,42,26,14,98,0.598,251,243,2,7,0.07,-0.03,6.02,192,172,54,261,20.69,54,223,75.78,3,10,8.1,8.7,2631,9.5,2448,0.904,100.3
2017-2018,Los Angeles Kings,29.1,82,45,29,8,98,0.598,239,203,2,1,0.44,0,5.39,183,159,49,240,20.42,39,260,85,5,4,8.8,8,2544,9.3,2537,0.92,101
2017-2018,Columbus Blue Jackets,26.4,82,45,30,7,97,0.591,242,230,6,4,0.11,-0.04,5.76,193,168,39,227,17.18,51,214,76.17,4,7,6.5,7.2,2761,8.5,2567,0.912,100.2
2017-2018,New Jersey Devils,27.7,82,44,29,9,97,0.591,248,244,5,4,0.02,-0.03,6,177,187,54,252,21.43,47,258,81.78,12,6,8.2,8.2,2599,9.3,2616,0.908,99.7
